batting_team,bowling_team,city,runs_y,result_first_innings
Loughborough Lightning,Yorkshire Diamonds,Loughborough,143,1
Loughborough Lightning,Yorkshire Diamonds,Loughborough,143,1
Loughborough Lightning,Yorkshire Diamonds,Loughborough,143,1
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
Surrey Stars,Loughborough Lightning,Loughborough,95,0
