batting_team,bowling_team,city,runs_y,result_first_innings
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Canterbury,Northern Districts,Hamilton,118,0
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
Auckland,Central Districts,Auckland,199,1
